"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1003","Registration with correct email, username and password","LMS system","Thu Apr 09 15:14:40 UTC 2026","passed","Thu Apr 09 15:14:41 UTC 2026","Registration","Authentication","",""
"","1963","Check displaying of dashboard page","LMS system","Thu Apr 09 15:14:53 UTC 2026","passed","Thu Apr 09 15:14:55 UTC 2026","Dashboard","Dashboard","",""
"","1685","User login with wrong email or password","LMS system","Thu Apr 09 15:14:33 UTC 2026","passed","Thu Apr 09 15:14:34 UTC 2026","Authorization","Authentication","",""
"","1287","Check displaying of dashboard page","LMS system","Thu Apr 09 15:14:57 UTC 2026","passed","Thu Apr 09 15:14:58 UTC 2026","Dashboard","Dashboard","",""
"","3780","Edit course","LMS system","Thu Apr 09 15:14:52 UTC 2026","passed","Thu Apr 09 15:14:56 UTC 2026","Courses","Courses","",""
"","1384","User login with wrong email or password","LMS system","Thu Apr 09 15:14:30 UTC 2026","passed","Thu Apr 09 15:14:31 UTC 2026","Authorization","Authentication","",""
"","3299","Edit course","LMS system","Thu Apr 09 15:14:49 UTC 2026","passed","Thu Apr 09 15:14:52 UTC 2026","Courses","Courses","",""
"","3300","User login with correct email and password","LMS system","Thu Apr 09 15:14:33 UTC 2026","passed","Thu Apr 09 15:14:36 UTC 2026","Authorization","Authentication","",""
"","1426","Check displaying of empty courses list","LMS system","Thu Apr 09 15:14:44 UTC 2026","passed","Thu Apr 09 15:14:46 UTC 2026","Courses","Courses","",""
"","2253","Create course","LMS system","Thu Apr 09 15:14:46 UTC 2026","passed","Thu Apr 09 15:14:48 UTC 2026","Courses","Courses","",""
"","1298","Navigation from login page to registration page","LMS system","Thu Apr 09 15:14:38 UTC 2026","passed","Thu Apr 09 15:14:39 UTC 2026","Authorization","Authentication","",""
"","999","Navigation from login page to registration page","LMS system","Thu Apr 09 15:14:37 UTC 2026","passed","Thu Apr 09 15:14:38 UTC 2026","Authorization","Authentication","",""
"","3219","Create course","LMS system","Thu Apr 09 15:14:48 UTC 2026","passed","Thu Apr 09 15:14:51 UTC 2026","Courses","Courses","",""
"","1331","User login with wrong email or password","LMS system","Thu Apr 09 15:14:30 UTC 2026","passed","Thu Apr 09 15:14:31 UTC 2026","Authorization","Authentication","",""
"","862","User login with wrong email or password","LMS system","Thu Apr 09 15:14:31 UTC 2026","passed","Thu Apr 09 15:14:32 UTC 2026","Authorization","Authentication","",""
"","1387","Check displaying of empty courses list","LMS system","Thu Apr 09 15:14:42 UTC 2026","passed","Thu Apr 09 15:14:43 UTC 2026","Courses","Courses","",""
"","1933","Registration with correct email, username and password","LMS system","Thu Apr 09 15:14:44 UTC 2026","passed","Thu Apr 09 15:14:46 UTC 2026","Registration","Authentication","",""
"","4163","User login with correct email and password","LMS system","Thu Apr 09 15:14:39 UTC 2026","passed","Thu Apr 09 15:14:43 UTC 2026","Authorization","Authentication","",""
"","1294","User login with wrong email or password","LMS system","Thu Apr 09 15:14:37 UTC 2026","passed","Thu Apr 09 15:14:39 UTC 2026","Authorization","Authentication","",""
"","1508","User login with wrong email or password","LMS system","Thu Apr 09 15:14:35 UTC 2026","passed","Thu Apr 09 15:14:37 UTC 2026","Authorization","Authentication","",""
