"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","794","User login with wrong email or password","LMS system","2026-04-04","passed","2026-04-04","Authorization","Authentication","",""
"","1075","Create course","LMS system","2026-04-04","passed","2026-04-04","Courses","Courses","",""
"","869","Navigation from login page to registration page","LMS system","2026-04-04","passed","2026-04-04","Authorization","Authentication","",""
"","1394","Edit course","LMS system","2026-04-04","passed","2026-04-04","Courses","Courses","",""
"","667","Check displaying of empty courses list","LMS system","2026-04-04","passed","2026-04-04","Courses","Courses","",""
"","730","Check displaying of dashboard page","LMS system","2026-04-04","passed","2026-04-04","Dashboard","Dashboard","",""
"","916","User login with wrong email or password","LMS system","2026-04-04","passed","2026-04-04","Authorization","Authentication","",""
"","962","Registration with correct email, username and password","LMS system","2026-04-04","passed","2026-04-04","Registration","Authentication","",""
"","880","User login with wrong email or password","LMS system","2026-04-04","passed","2026-04-04","Authorization","Authentication","",""
"","1224","User login with correct email and password","LMS system","2026-04-04","passed","2026-04-04","Authorization","Authentication","",""
